Начало
BATCH_SIZE: 8, LR: 0.0005, CLIP None
Скорость обучения изменена. LR = 0.000031

Epoch: [70][10/97]	Batch Time 0.669 (3.511)	Data Time 0.001 (2.832)	Loss 2.7375 (2.2836)	
Epoch: [70][20/97]	Batch Time 0.671 (2.791)	Data Time 0.000 (2.106)	Loss 2.9731 (inf)	
Epoch: [70][30/97]	Batch Time 0.676 (2.660)	Data Time 0.001 (1.975)	Loss 2.4445 (inf)	
Epoch: [70][40/97]	Batch Time 0.668 (2.376)	Data Time 0.000 (1.695)	Loss 2.2495 (inf)	
Epoch: [70][50/97]	Batch Time 0.670 (2.316)	Data Time 0.000 (1.634)	Loss 1.7072 (inf)	
Epoch: [70][60/97]	Batch Time 3.024 (2.263)	Data Time 2.351 (1.583)	Loss 2.5211 (inf)	
Epoch: [70][70/97]	Batch Time 0.671 (2.231)	Data Time 0.000 (1.552)	Loss 2.0661 (inf)	
Epoch: [70][80/97]	Batch Time 7.734 (2.245)	Data Time 7.068 (1.565)	Loss 2.7366 (inf)	
Epoch: [70][90/97]	Batch Time 0.673 (2.172)	Data Time 0.000 (1.491)	Loss 2.6548 (inf)	
Epoch: [71][0/97]	Batch Time 25.063 (25.063)	Data Time 24.354 (24.354)	Loss 1.7897 (1.7897)	
Epoch: [71][10/97]	Batch Time 3.376 (4.232)	Data Time 2.708 (3.547)	Loss 2.8559 (2.2262)	
Epoch: [71][20/97]	Batch Time 0.698 (3.041)	Data Time 0.001 (2.342)	Loss 2.4596 (2.3987)	
Epoch: [71][30/97]	Batch Time 0.687 (2.577)	Data Time 0.000 (1.878)	Loss 2.5141 (2.4303)	
Epoch: [71][40/97]	Batch Time 0.777 (2.710)	Data Time 0.000 (2.007)	Loss 3.0605 (2.4634)	
Epoch: [71][50/97]	Batch Time 0.777 (2.469)	Data Time 0.000 (1.755)	Loss 2.1982 (2.4322)	
Epoch: [71][60/97]	Batch Time 0.758 (2.463)	Data Time 0.001 (1.742)	Loss 2.0116 (2.4005)	
Epoch: [71][70/97]	Batch Time 0.787 (2.404)	Data Time 0.001 (1.672)	Loss 2.0039 (2.3751)	
